Year,CoconutOil,CottonseedOil,GroundnutOil,LinseedOil,MaizeOil,PalmKernelOil,SesameSeedOil,OliveOil,PalmOil,RapeseedOil,SoybeanOil,SunflowerOil
2010,3608464,6231968,7675536,688604,2523771,5193991,1104641,3166517,45884349,28348720,49665868,12920660
2011,2997380,6492448,7411549,670217,2592210,5605663,1205014,3391356,49683065,28319290,52302231,13652363
2012,3275660,6939806,7376725,749164,2609293,6005652,1403165,2473317,52946144,29503105,53009126,15548470
2013,3432283,6651047,7167175,746771,2600146,6342000,1227682,3499535,55578225,28677285,53816036,14535221
2014,3092200,6559209,6665474,828270,2804566,6580613,1149202,2228937,57734501,32002138,58373575,16709092
2015,3075342,5947424,6593809,900015,3030620,6862675,1244287,3381466,60504111,31362495,64279634,15926381
2016,3184665,5415915,6804782,974604,3297024,6402566,1327211,2836378,58823056,28653624,66698832,16336219
2017,3162519,5618012,7009822,975477,3632010,7328800,1321101,3099249,69311039,27867284,71097066,18340745
2018,3293732,5863890,6837235,985147,3851209,7873065,1323513,3654851,72002999,28339936,73187813,18518076
2019,3147951,5648112,5759951,990599,3289686,8119416,1302448,3082255,74742938,27830359,75836532,20347214
2020,2590127,5733556,6538740,953359,3280022,7868390,1345841,3349274,73838144,28059930,75433665,20870149
