Year,Total Production,Indonesia Production,Malaysia Production,Thailand Production
1961,1518901,145700,94846,600
1962,1515941,141500,108171,600
1963,1575070,148300,125691,600
1964,1610032,164000,122913,600
1965,1616213,156700,150411,600
1966,1726205,174400,189687,600
1967,1741217,167699,225758,600
1968,1911724,181444,282984,600
1969,2042471,188800,352096,600
1970,2049339,216827,431069,600
1971,2287330,249957,580389,600
1972,2456616,269464,718580,600
1973,2564388,289677,812614,1150
1974,2966191,347676,1045975,1150
1975,3286953,397253,1257573,3250
1976,3485918,431006,1391965,4000
1977,3721794,457607,1612747,5000
1978,4008547,501284,1785525,6300
1979,4700449,641240,2188699,11600
1980,5242953,721172,2573173,18900
1981,5459847,800060,2822144,30163
1982,6353947,886820,3510920,49522
1983,5994853,982987,3016481,55552
1984,7006507,1147190,3714795,81361
1985,7825207,1243430,4134463,89000
1986,8515833,1350729,4542249,105000
1987,8759727,1506055,4531960,131000
1988,9506011,1713335,5027496,161000
1989,10990059,1964954,6056501,199000
1990,11629105,2412612,6094622,226000
1991,12063832,2657600,6141353,234000
1992,13049624,3266250,6373460,270000
1993,14355115,3421448,7402930,265000
1994,14931110,4008060,7220630,300000
1995,16156686,4479670,7810546,370000
1996,17211521,4898658,8385890,400000
1997,18489798,5385458,9068730,449796
1998,18423018,5902178,8319680,475042
1999,20946371,6011300,10553918,570000
2000,22440769,7000507,10842095,579000
2001,25052758,8396472,11804000,780390
2002,26356149,9622344,11909300,641608
2003,28900264,10440834,13354800,863835
2004,30287437,10830389,13976200,820838
2005,32516273,11861615,14961700,783953
2006,39638909,17350848,15880700,1167126
2007,39983987,17664724,15823745,1051089
2008,42577909,17539788,17734440,1543761
2009,44101700,19324292,17564936,1387604
2010,46068029,21958120,16993717,1287509
2011,49862886,23096541,18911520,1650000
2012,53130474,26015519,18785030,1780000
2013,55772480,27782004,19216459,1970000
2014,58180090,29278189,19667016,2000000
2015,60923371,31070015,19961581,2068400
2016,58730851,31730961,17319177,1804400
2017,69590713,37965224,19919331,2602000
2018,72286641,40567230,19516141,2774800
2019,79180756,47120247,19858367,3040000
2020,75988549,44759147,19140613,2690000
